# Alizia planning

  Meeting started: 30/3/2026, 14:44:54
  Duration: 54 minutes
  Participants: José Attento | Educabot.com, Juan Mateos | Educabot.com, Sebastian L. | Educabot.com

  [View original transcript](https://app.tactiq.io/api/2/u/m/r/MC52P0Z8LacS4Sf5PzQo?o=txt)

    

  

  
    ## Highlights

    > 01:26 Sebastian L. | Educabot.com: te deseo obvio y la abstinencia de ser total
27:23 José Attento | Educabot.com: Bueno, bien, esta pantalla no empieza el el coordinador hace clic en empezar a definir ese documento de coordenadas, que ya existen estado Draft en la base de datos y tiene esta vista, qué es lo que estamos Sabiendo acá a grandes rasgos es una selección de tópicos. De que se relacionan con ese documento de coordenadas, no tópicos son esa base de datos, si recuerda esa tabla que es multinivel donde se limpian entre sí, entonces acá básicamente estamos mostrando una vista hidratada de esos tópicos porque hidratada porque acá desde la configuración levantamos cómo se llaman cada una de las cosas que que los niveles que ellos definen y los tópicos que van a ver entonces.
28:16 José Attento | Educabot.com: Este gets va a ser este geta inicial le va a traer esa información ya hidratada para que rendericemos qué es lo que el coordinador debería setear para que se trabaje en ese documento de coordenadas no es como la primer llamada que se hace. Estamos de acuerdo que en esta vista Esta es la información que le vamos a dar al usuario algo más que creen que deberíamos Mostrar acá, además de tópicos.
28:47 Juan Mateos | Educabot.com: Hoy no podría evolucionar Sí porque quizá con ro definimos otra interfaz, pero hoy no.
28:56 José Attento | Educabot.com: No, sí, no, no hay nada escrito en piedra, es como para hacer el desarrollo inicial.
29:00 Juan Mateos | Educabot.com: Sí sí, creo que estamos bien.
29:07 José Attento | Educabot.com: Bueno después tenemos esta vista esto ya debería estar precargado con lo que hizo el admin hicimos Nosotros con un sql. Donde habíamos fecha inicial fecha final y las clases que esto se va a estar precalculando acá deberíamos tener dos en points. Unen Point que funciona como calculadora donde nosotros agarra ya sabiendo Cuántas clases tienen de cada materia, Qué feriados nacionales tenemos qué feriado institucionales tenemos nosotros calculamos, Cuántas clases. Tendría para cada una de las materias y otro en Point que es para guardar esta información con los ajustes que haya hecho el profesor ahora la pregunta es qué forma queremos que tengan esos ajustes Por ejemplo. Yo soy un coordinador hago che matemática tenemos no me acuerdo como ya en las instituciones tienen días donde se juntan solo los profesores y se ponen de acuerdo en metodologías de enseñanza y no sé qué poronga y cada cada colegio los pone cuando quiera entonces yo sé que a mí me callo uno de esos no sé el colegio no lo tiene cargado por algún motivo hago menos uno Queremos que acá el coordinador ponga una justificación, cómo queremos que sea experiencia de el coordinador Ajustando la timeline, qué queremos guardar en nuestra base de datos?
30:33 Juan Mateos | Educabot.com: Yo creo que hoy hoy no lo sabemos, porque la otra digamos que vos decís, es digamos, o sea, justificación acá no le pediría por qué si te voy a pedir justificación directamente te agarre. Te digo, no, no? A ver, entrá a las fechas y carga lo que sea. Que si te voy a pedir justificación Bueno ya ya dejar establecido en este calendario, digamos que sería el otro evento feriados, institucionales o eventos institucionales Y bueno ya está Y entonces te quito la posibilidad de editar.
31:11 Juan Mateos | Educabot.com: No sé si me explico Digamos como Bueno ya está, tengo una una sola fuente de modificación y va a ser el perfil de del cronograma de clases del colegio. Esto tiene para mí el único objetivo dar flexibilidad y en esa línea digamos,
31:28 Juan Mateos | Educabot.com: podríamos pedir una justificación, no me parecería mal que no lo hagamos como mvp y
31:37 Sebastian L. | Educabot.com: Podés poner un un coso trabajo que diga observaciones Y eso es un se guarda como String en la TV una columna más y listo y ahí ya está. Y pueden ponerlo vacío lo pones como opcional lo pones vacío lo cargan si quieren y si dicen nada matemáticas, son 10 por esto y listo no hay nada, puede elegir o no escribirlo? y no creo que restaría de alguna manera
32:07 Juan Mateos | Educabot.com: Si hay algo simple le podemos preguntar o problema para tener traqueo y después decir, bueno Che Mira no estamos teniendo un montón de veces este caso, Ah okay. Sí algo así podríamos.
32:22 José Attento | Educabot.com: Nada, pensalo y no decís Juan acá, entonces no estamos trabajando con información nueva, sino que seguimos laburando con ese zp inicial de lo de lo que se hizo el documento de coordenadas, simplemente le dimos la posibilidad al profesor de ajustar esa información, entonces sería como este segundo post que guarda la definición acá algo que se me ocurre que para mí tiene sentido de hacer que esto ya es más técnico Sebas si recordás, cómo estaba el esquema de la base de datos hoy en día solamente hay una tabla que es de documento de coordenadas para mí, lo que necesitamos hacer ya para hacer esto robusta futuro tener dos tablas uno que sea templates de documento de coordenadas, que es lo que crea el admin o lo que creamos nosotros haciendo un in.
33:16 José Attento | Educabot.com: base de datos y después
33:18 Sebastian L. | Educabot.com: la tabla que te referís es coordination documents
33:22 José Attento | Educabot.com: Claro, y después habla con las instancias, no Uno que es Temple y otra que es
33:22 Sebastian L. | Educabot.com: No, esa.
33:27 José Attento | Educabot.com: instancia cuando el coordinador hace este post Crea una instancia el template es lo que creó el admin o lo que queramos nosotros este post lo que crea es crear la instancia del template Entonces sería otra tabla Y esto es lo que nos da esta flexibilidad de que Che el laburo del coordinador del admin no se pisó y nos da mejor traseabilidad a lo largo de nuestro sistema.
33:52 José Attento | Educabot.com: es algo que habría que
33:53 Sebastian L. | Educabot.com: lo bueno No sé si por plantear una máquina de estado para esto.
33:59 José Attento | Educabot.com: Para mí tiene sentido que haya una maquinita de Estados para esto es muy sencillo, es muy muy bobo.
34:04 Sebastian L. | Educabot.com: Es una ssm sencillísima chiquitísima, pero tiene sentido porque pasa un estado al otro y ahí se redirigen en las tablas correspondientes.
34:13 José Attento | Educabot.com: pero igual lo que está en el template eso para mí no debería tener estado lo que está en el templete es una clase lo que conocemos como una clase en programación después en la instancia es la que se crea Y esa es la que se elabora la que va como pasando de Estados
34:30 Juan Mateos | Educabot.com: Y aparte tengamos en cuenta que ese template digamos, no obvio, no lo podemos modificar porque puede ser de más de un curso. entonces yo necesito que ese Temple y sigas cantando Exactamente igual para que
34:39 José Attento | Educabot.com: sí
34:43 Juan Mateos | Educabot.com: lo agarre en la división b y haga lo que quiera la división B
34:50 José Attento | Educabot.com: perfecto Después otra cosa que no me fui dando cuenta de cosas que no teníamos no, no teníamos consideración en el esquema hoy en día tampoco tenemos algo que sea una fuente de verdad en cuanto a feriados nacionales institucionales o lo que sea. Deberíamos tenerlo para cuando se hace esto también esto Supongo podemos salir
35:17 Juan Mateos | Educabot.com: una tabla
35:19 José Attento | Educabot.com: tranquilamente sin ningún en Point simplemente una tablita donde nosotros cargamos los feriados a manopla, tirándole comandos y después la calculadora lo levanta esa información.
35:29 Sebastian L. | Educabot.com: Lo que se puede hacer es crear un Chrome que me acuerdo en qué fecha se ponen las los feriados nacionales? y ese cron, en esa fecha le queda al de manera automática, le pega a la Api o a la página web del gobierno debe tener seguramente que pueda sacar la información y de ahí sacas la Data Entonces la pones cada un año.
35:55 Juan Mateos | Educabot.com: Sí ahora. Le ahora lo sacamos y problema problema.
35:57 Sebastian L. | Educabot.com: La sacamos Pero puedes ejecutar un re sencillo que haga una sola pegada por año y le toma y listo.
37:03 Juan Mateos | Educabot.com: Queremos que sea responsabilidad del coordinador al menos con los casos que conocemos hoy, pero también queremos que sea responsable coordinador porque dado que no conocemos los casos. Bueno, chaval, encárgate que quede bien completado el documento y ya está, o sea, el pueblo que entiendo que decís es como Bueno vamos a dejar preseleccionadas algunas cosas dependiendo de ponerle o algo algo así, claro, no O sea siento que no tenemos conocimiento suficiente hoy para hacer algo como eso, podríamos después analizar, cómo viene haciendolo siempre los docentes de La Rioja y decir Bueno sí tiene sentido pensar en algo como pre armado, pero por ahora.
37:55 Juan Mateos | Educabot.com: Lo verían Sí el tema es cómo lo ven si tienen uno tienen tres pasos acá adentro probablemente la interfase distinto y capaz sean dos pasos en vez de uno. pienso la iOS digo Acá hay que resolver algo, no como por ejemplo matemática tiene un String que es su categoría o no sé una variedad categórica, supongamos que es una de esta lista pero ahora si tengo más de un elemento no en algún momento esa tablita se va a llenar, no, que a ver si una temática tiene ítem, 1a y diferentes niveles ahora que si tienes esa tabla que sea un campo, no implica que tenga que ser una sola interfaz que yo elijo algo primero y después pongo siguiente y después me aparece otra cosa Y después pongo siguiente y después me aparece otra cosa o sea me me parece como importante que no forcemos una
39:00 Juan Mateos | Educabot.com: experiencia dependiendo, digamos O sea que no no estandaricemos un Front Para todos los casos digamos.
39:26 Juan Mateos | Educabot.com: No, con eso estamos bien Con eso.
40:41 José Attento | Educabot.com: La manera sofisticada pero es esa por ahora una vez al año peguémosle el año que viene si esto va bien, ya deberíamos poder hacer ese Chrome Pero bueno bien próximo paso. esto a ver Esta vista esto ya lo hablamos hace un tiempito lo que habíamos dicho en su momento es Che algunas, porque el coordinador el admin o nosotros ya cargó estos tópicos en algún punto entonces acá lo queremos definir cheque cuando el admin o nosotros cargamos esto en el templates, simplemente va a cargar los tópicos, le va a agregar una distribución por defecto del área o creemos que esto sea 100% responsabilidad del del coordinador.
40:50 José Attento | Educabot.com: Entonces si vamos con esta ventana es obligatoria siempre la vamos en todo nuestro por ahora en todos nuestros clientes lo irían a ver no es algo configurable. porque Cuando hablamos de pasos que te imaginas como pasos. Pero para nuestro mvp, necesitamos salir con esa flexibilidad o estamos bien Con lo que hablamos en un en su principio que es una configuración que te dice en este nivel seleccionas tópicos de nivel uno o de nivel dos y según eso tenemos un switch en el frontend y te realizamos o hay diferentes.
40:59 José Attento | Educabot.com: Bueno, esto otra llamadita al backen todo esto va a ir actualizando el documento de coordenadas. Después hay que pensar bien, cómo se van a llamar cada uno de los estatuses, qué tan granulares queremos que seamos. A ver Bueno después tenemos esta ventana de acá, acá tenemos tres cosas en paralelo, que queremos, no Debería ser súper sofisticado, pero bueno, sí, los estamos en el mvp. Si debería tener las tull colts necesarias para ir actualizando el documento ya acá me imagino algo muy sencillito como una llm que tenga va hoy en día si se fijan el código como está implementado, creo que es una El M que por contexto se le se le inyecta el magma o este Puede acceder a las clases mediante un atul y después tiene un par de tuicos para modificar cada uno estos por separado y para agregar modificar o eliminar clases acá lo que vamos a necesitar hacerlo es por ahí un poco más genérico porque esto que estamos viendo acá va a ser un Jason esquima Entonces por organización esto probablemente.
41:32 José Attento | Educabot.com: Vaya a ser muy diferente Entonces tenemos que ver. Cómo cómo lo solucionamos digo che. Lo le pasamos a la llm el Jason esquima en el proms y que las tullcalls sean genéricas y que en base de eso pueda apanar pasar un Jason path y modificar las cosas. Sí esa es la solución que se me ocurra Pero bueno, podríamos hacer otras cabeceadas, pero bueno, hay que pensar un poco eso de cómo modificamos cómo manejamos esta información para que siga siendo genérica y funcione con cualquier yeso en estima posible.
42:16 José Attento | Educabot.com: vos lograste con Jason esquima anteriormente Sebas Okay.
42:26 Sebastian L. | Educabot.com: Me quedé pensando en tipo, qué tipo guardado le podemos hacer porque imagino que lo va a querer hacer ese ese, o sea ese es un estima, va a quedar guardado una única vez O se va a ir moviendo con el tiempo.
42:38 José Attento | Educabot.com: Va a ser uno por organización?
42:40 Sebastian L. | Educabot.com: Bueno entonces podemos guardar eso y ya está entonces no tiene que preguntarlo cada vez que entra en el chat.
42:46 José Attento | Educabot.com: Sí el tema es si esto es un Jason esquima y cambia por organización la tul call que sea modificar este esto Ahora en la base de datos creo que se llama documento modificar documents tiene que saber Cómo invocar esa tulco entendés, tiene que saber cómo indicarle qué parte de ese Jason tiene que modificar Esto va a ser eso al final del día no, Entonces eso es lo que hay que pensar cómo esa tul va a tener la inteligencia para modificar ese Jason Que es variable según una organización te veo con cara Juan de que hay algo que
43:23 Juan Mateos | Educabot.com: No, no se me ocurre que podría como resolverse ya digamos, yo ya sé cuál es el esquema de esto no tengo en este momento muy fresco como un Jason esquima Pero me imagino que es como una estructura de Bueno mira acá tenés esta sección, uno tiene este title y tiene este Body y así para abajo no unos pares de cosas, así sí, O sea con el enfoque vamos a hacer una sola tul que es modify document o algo así pasándole tipo como variable Este es el Jason esquima al atul debería funcionar perfectamente y en el peor de los casos entendiendo que un Jason esquema tiene la posibilidad como de Navegar adentro de eso ya hizo un esquema, podríamos detectar, no sé que un esquema tiene cuatro cinco o n secciones Y entonces eventualmente le pasamos como esas variables.
44:21 Juan Mateos | Educabot.com: Al azul tipo como como contexto para que se maneje mejor digamos, no como Mirá Che estás vos estás trabajando en un documento que tiene en excepciones estas son todas las secciones, si el usuario te pido que modifique es algo de acá, trabaja específicamente en el body de la sección tal No sé que creo que que hay alternativas. Lo pueden dar muy buenos resultados de manera simple?
44:49 José Attento | Educabot.com: Lo que pasa es como le indicas qué parte del Jason querés, que modifique eso es Che le copias el esquema y que la lm lo infiera se utilizas algo que se llama Jason pass que es como que le indica específicamente el elemento del Jason que querés modificar eso es lo que hay que definir.
45:09 Sebastian L. | Educabot.com: Creo que elaboré con esto la cosa es así hay una cantidad de de módulos limitados o hacer muy falopático que los vamos a desconocer todos.
45:21 José Attento | Educabot.com: Para mí Debería ser chiquito, ese tipo este tipo de comentarios.
45:26 Juan Mateos | Educabot.com: máximo cinco máximo cinco secciones
45:26 Sebastian L. | Educabot.com: Pero los títulos, o sea, vos puedes crear, por ejemplo. Que se creen 10 como máximo y o hay diez variantes lo que puedes hacer es tener todas las variantes ya pensadas en ese Jason opcionales que el lm las conozca y que sepa que si están vacías no las llama y si están llenas. Así te va a quedar un Jason grande. Pero va a tener muchos elementos a Dios
45:56 José Attento | Educabot.com: Perdón no no, no, no te pude seguir igual.
45:58 Sebastian L. | Educabot.com: o sea, vos en este caso tenés ciencias exactas clases por disciplinas no un módulo de Jason
46:09 José Attento | Educabot.com: No Bueno si se quiere después hacemos otro otra reunión más técnica Así que entramos en el taller esto como Para no pasar.
46:16 Sebastian L. | Educabot.com: Pero se me están ocurriendo como cosas así.
46:21 José Attento | Educabot.com: Pero bueno básicamente Tres para trabajar sobre cada una de estas cosas acá lo que me gustaría que hay que poner cabeza en algún momento nos tenemos que sentar que para mí está flojo hoy en día en papeles. Esto es cómo generamos esas sugerencia de clases a partir de una llm hoy en día le decimos a la lm chef, Tengo estos tópicos Tengo este tiempo acomodame los maestros.
46:51 José Attento | Educabot.com: Lo mejor que puedas y eso da margen de error para muchas cosas primero lados tópicos no están correlacionados. La lm no sabe si hay cosas que deberían verse antes que otras Entonces te puede meter conceptos más complejos antes que conceptos más simples que deberían ver antes y tampoco tiene en cuenta Cuánto laburo, lleva a entender cada concepto entonces para ella obviamente va a haber temas que un profesor le quiere asignar más clases otros que sea necesita en menos clases Bueno queremos bucearle todo ese laburo al profesor. Nosotros simplemente lo hacemos y que lo ajuste o queremos en nuestra fuente de verdad en nuestra tabla como guardar algo de eso de hecho. Esto se debe a ver antes que esto ten en cuenta que esto necesita más tiempo necesitamos pensar un poco mejor como va a ser ese esquema de cómo le decimos a la lm que tiene que
47:41 José Attento | Educabot.com: generar esas clases.
47:43 Sebastian L. | Educabot.com: yo creo que le podemos pedir al profesor que tuvo cargo un peso de No sé, está tópico, tiene peso tres entonces un tiempo determinado tres. Entonces es que te lleva tres clases verlo, o sea, como, que ya se lo cargas un par de cosas. Como que hay algunas cosas.
48:03 Juan Mateos | Educabot.com: me metería en ese tipo de cosas, sí, coincido que hay que mejorar el proceso
48:05 Sebastian L. | Educabot.com: no
48:11 Juan Mateos | Educabot.com: de generación O sea hay que ser muy inteligentes, en qué contexto le vamos a dar a la llm para que defina Cómo define una objetiva o una clase, pero me quedaría muy muy por encima tipo porque no sabemos O sea sí, técnicamente tengo el diseño curricular Y qué sé yo, pero no sabemos en detalle que quiere hacer Ese profe, no le estamos pidiendo, Dame el programa de la materia nos estamos quedando como en otro nivel previo de abstracción y acá le estoy tirando como una pelotita de Chester el objetivo de la clase y puede estar mal y
48:46 Juan Mateos | Educabot.com: seguramente esté mal lo que te generalizan si vamos a tratar de que tenga más sentido Pero creo que ya entrar a pensar un poco más digamos algo más sofisticado de más certero implica empezar a pensar en el esquema de cada materia, los temas de cada materia y bueno algo como lo que dijiste vos Che qué peso le vamos a dar y medio que Le estamos pidiendo que planifique antes de que planifique digamos, no Entonces es algo que creo que es y suma al producto y que es necesario, pero hoy no lo haría que por lo haría después de haber aprendido un poco más decir bueno Ok sí, aportaría valor en esto O no no me metería ahí hoy.
49:29 Sebastian L. | Educabot.com: O que la misma se retroalimente podemos empezar a nosotros empezar a abordar esas cosas es decir qué peso tienen las cosas en base a lo que le vas cargando y no se traba diciendo.
49:41 José Attento | Educabot.com: Bueno yo lo que haría acá que para mí Estaría bueno Esto es algo que para mí Estaría bueno si en paralelo lo podemos copiar y agarrar un ejemplo de de algún documento que nos hayamos pasado y crear una clase una un plan de clases para algo posta de algún colegio posta que tengamos la información y pasárselo un profesor y ver cómo realmente que qué tan Útil es mi preocupación. Es que termina haciendo algo muy Choto y que el profesor lo diga esto es una v****, Tengo que cambiar todas las clases me puso las cosas en un sentido que no tienen y que tenga que trabajar todo para esto yendo paranoico, pero creo Esto es algo que para mí deberíamos pokear fácilmente no agarrar una lm en algún playground pasarle clases y pedirle que no lo genere y verificar con alguien Che tiene sentido esta planificación Está bueno te sirve y si no como cachear este problema a tiempo y y entenderla.
50:40 José Attento | Educabot.com: Y después lo último es entender, Qué significa el último en Point entender, Qué significa publicar un documento de coordenadas, uno le va a desbloquear al profesor la edición. Bueno, hace al Cuáles son esos efectos secundarios, está bien, se lo bloqueamos en el frontend. Mandamos alguna notificación en un inicio. Queremos hacer algo más lo que charlamos antes, vamos a permitir modificar en el mvp, Sí bueno, vamos a propagar No sí, como bien entender Cuáles son los efectos secundarios.
51:12 José Attento | Educabot.com: publicar un documento de coordenadas Y si acá realmente termina el flujo del coordinador Si queremos darle alguna experiencia adicional
51:26 Juan Mateos | Educabot.com: Yo creo que es eso, eh? Que retomado en el medio de llama para generar el contenido y sí, Y es el otro de las clases, no? Yo creo que hoy sería cambiar la estatus disponibilidad para profes. Y bueno Después te lo dejo ahí para que lo veas y eventualmente te doy la posibilidad de editar, pero te pongo el cartel que dice seba ten en cuenta que los cambios que hagas no serán reflejados automáticamente en las clases que los docentes estén trabajando bla bla bla bla bla bla bla bla bla bla bueno, digital genial.
52:03 Juan Mateos | Educabot.com: Pero no, no esperes que esto mágicamente haga cambios y no mucho más para para el coordinador.
52:13 José Attento | Educabot.com: Bueno antes de cortar la reunión próximos pasos se sienten cómodos como para empezar a desarrollar este flujo quieren seguir documentando más hay algo que dicen necesitamos resolver esto antes. que se imaginan
52:26 Juan Mateos | Educabot.com: Yo me estoy llevando, digamos anotado esto que me dijiste si al modificar la cantidad de clases, le pedimos una justificación o no creo que no limita el desarrollo de lo más mínimo y bueno Esto del poco de los objetivos de clase, te pasa algo real que seguramente lo laburamos con Alan y empezamos a entender ese flujo que sí me parece importante sobre todo porque después también es
52:52 Juan Mateos | Educabot.com: cuando me hagan las actividades de la clase, en qué te vas a Después de decirte todo eso dije claro, Sí pero después lo necesito a un a un mejor criterio, puedo generarte un objetivo medio feo, pero después de dicho,
53:09 Juan Mateos | Educabot.com: eso yo creo que que estamos para para arrancar. Ahí. Bueno, sebate, había pasado ese documento con mis dudas principales me decís que hay mucho de lo que ya está ahí, que está resuelto. Así que creo que estamos
53:25 Sebastian L. | Educabot.com: Sería hacer correcciones de mi parte, ya creo que me pasa, lo he hablado. Creo que de lo que yo puse en el rfc y lo que hablaste vos José no hay mucho que cambiar no al final, o sea, es un darle lo que hay que Estamos contentos con eso o que daba algo puntual que quedó inconcluso en el rfc de lo que nombraste recién. ahora el
53:46 José Attento | Educabot.com: Bien, claro, como este flujo de Cuál es el paso a paso del flujo de coordinadores, como interactúan los points tampoco igual no sé si es necesario agregarlo al RFC Podemos agregar esto como un archivito aparte y listo. Pero bueno si te parece yo tengo que bajar metemos una reu en un rato empezamos a ver como primeras cosas como lo encaramos repartimos laburo y le mandamos.
54:10 Sebastian L. | Educabot.com: Dale mientras no estés elemento algo de actualizar el documento Juan Juan si me puedes mandar ese docu de producto actualizado vendría 10 puntos.
54:22 Juan Mateos | Educabot.com: y les paso la grabación también de esta red así lo usan como input para lo que
54:27 Sebastian L. | Educabot.com: Dale
54:29 José Attento | Educabot.com: Muchas gracias por su tiempo chicos.
54:31 Sebastian L. | Educabot.com: Chao.
54:31 Juan Mateos | Educabot.com: Igualmente.
  
